,Area,PLC prog unit,Device Name,Device,PLC Tag,PLC dep gauge1,PLC dep gauge2,PLC dep pump1,PLC dep valve1,Volume,sim dep vol1,sim dep vol2
45,EBD (GATT) diff,,AT1K0_GAS_PTM_10,PTM-10 (diff pump 1),PTM_Ebara_010M,AT1K0_GAS_GCC_10,,,,GATT,,
46,EBD (GATT) diff,,AT1K0_GAS_VRC_10,VGC-10 (diff pump 1),VRC,AT1K0_GAS_GCC_10,,,,GATT,,
47,EBD (GATT) diff,,AT1K0_GAS_GPI_10,GPI-10 (diff pump 1),MKS317,,,,,GATT,,
48,EBD (GATT) diff,,AT1K0_GAS_GCC_10,GCC-10 (diff pump 1),MKS422,AT1K0_GAS_GPI_10,,,,GATT,,
49,EBD (GATT) diff,,AT1K0_GAS_PTM_20,PTM-20 (diff pump 2),PTM_Ebara_010M,AT1K0_GAS_GCC_20,,,,GATT,,
50,EBD (GATT) diff,,AT1K0_GAS_VRC_20,VGC-20 (diff pump 2),VRC,AT1K0_GAS_GCC_20,,,,GATT,,
51,EBD (GATT) diff,,AT1K0_GAS_GPI_20,GPI-20 (diff pump 2),MKS317,,,,,GATT,,
52,EBD (GATT) diff,,AT1K0_GAS_GCC_20,GCC-20 (diff pump 2),MKS422,AT1K0_GAS_GPI_20,,,,GATT,,
53,EBD (GATT) diff,,AT1K0_GAS_GPI_11,GPI-10,MKS317,,,,,GATT,,
54,EBD (GATT) diff,,AT1K0_GAS_PFM_01,PR-10,EbaraDryPump,,,,,GATT,,
55,EBD (GATT) diff,,AT1K0_GAS_PTM_30,PTM-30 (diff pump 3),PTM_Ebara_010M,AT1K0_GAS_GCC_30,,,,GATT,,
56,EBD (GATT) diff,,AT1K0_GAS_VRC_30,VGC-30 (diff pump 3),VRC,AT1K0_GAS_GCC_30,,,,GATT,,
57,EBD (GATT) diff,,AT1K0_GAS_GPI_30,GPI-30 (diff pump 3),MKS317,,,,,GATT,,
58,EBD (GATT) diff,,AT1K0_GAS_GCC_30,GCC-30 (diff pump 3),MKS422,AT1K0_GAS_GPI_30,,,,GATT,,
59,EBD (GATT) diff,,AT1K0_GAS_PTM_40,PTM-40 (diff pump 4),PTM_Ebara_010M,AT1K0_GAS_GCC_40,,,,GATT,,
60,EBD (GATT) diff,,AT1K0_GAS_VRC_40,VGC-40 (diff pump 4),VRC,AT1K0_GAS_GCC_40,,,,GATT,,
61,EBD (GATT) diff,,AT1K0_GAS_GPI_40,GPI-40 (diff pump 4),MKS317,,,,,GATT,,
62,EBD (GATT) diff,,AT1K0_GAS_GCC_40,GCC-40 (diff pump 4),MKS422,AT1K0_GAS_GPI_40,,,,GATT,,
63,EBD (GATT) MA,,AT1K0_GAS_VRC_50,VGC-50,VRC,AT1K0_GAS_GCC_50,,,,GATT,,
64,EBD (GATT) MA,,AT1K0_GAS_GPI_50,GPI-50 ,MKS317,,,,,GATT,,
65,EBD (GATT) MA,,AT1K0_GAS_GCC_50,GCC-50,MKS422,AT1K0_GAS_GPI_50,,,,GATT,,
66,EBD (GATT) MA,,AT1K0_GAS_VRC_60,VGC-60,VRC,AT1K0_GAS_GCC_60,,,,GATT,,
67,EBD (GATT) MA,,AT1K0_GAS_GPI_60,GPI-60,MKS317,,,,,GATT,,
68,EBD (GATT) MA,,AT1K0_GAS_GCC_60,GCC-60,MKS422,AT1K0_GAS_GPI_60,,,,GATT,,
69,EBD (GATT) MA,,AT1K0_GAS_GPI_61,GPI-60(roughing pump port?),MKS317,,,,,GATT,,
70,EBD (GATT) MA,,AT1K0_GAS_PFM_60,PR-60,EbaraDryPump,,,,,GATT,,
71,FEE(GATT) INJ,,AT1K0_GAS_VVC_70,VGC-70,VCC,,,,,GATT,,
72,FEE(GATT) INJ,,AT1K0_GAS_PTM_80,PTM-80,PTM_Ebara_010M,,,,,GATT,,
73,FEE(GATT) INJ,,AT1K0_GAS_VGP_80,VGP-80,VGC,AT1K0_GAS_GCC_60,AT1K0_GAS_GCC_80,,,GATT,,
74,FEE(GATT) INJ,,AT1K0_GAS_GPI_80,GPI-80,MKS317,,,,,GATT,,
75,FEE(GATT) INJ,,AT1K0_GAS_GCC_80,GCC-80,MKS422,,,,,GATT,,
76,FEE(GATT) MA,,AT1K0_GAS_VRC_90,VGC-90,VRC,AT1K0_GAS_GCC_90,,,,GATT,,
77,FEE(GATT) MA,,AT1K0_GAS_GCC_90,GCC-90,MKS422,AT1K0_GAS_GPI_90,,,,GATT,,
78,FEE(GATT) MA,,AT1K0_GAS_GPI_90,GPI-90,MKS317,,,,,GATT,,
79,FEE(GATT) MA,,AT1K0_GAS_VRC_100,VGC-100,VRC,AT1K0_GAS_GCC_100,,,,GATT,,
80,FEE(GATT) MA,,AT1K0_GAS_GCC_100,GCC-100,MKS422,AT1K0_GAS_GPI_100,,,,GATT,,
81,FEE(GATT) MA,,AT1K0_GAS_GPI_100,GPI-100,MKS317,,,,,GATT,,
82,FEE(GATT) diff,,FEES-GATT-GPI-111,GPI-110 (roughing pump port?),MKS275,,,,,GATT,,
83,FEE(GATT) diff,,AT1K0_GAS_PTM_110,PTM-110 (diff pump 5),PTM_Ebara_010M,AT1K0_GAS_GCC_110,,,,GATT,,
84,FEE(GATT) diff,,AT1K0_GAS_VRC_110,VGC-110 (diff pump 5),VRC,AT1K0_GAS_GCC_110,,,,GATT,,
85,FEE(GATT) diff,,AT1K0_GAS_GPI_110,GPI-110 (diff pump 5),MKS317,,,,,GATT,,
86,FEE(GATT) diff,,AT1K0_GAS_GCC_110,GCC-110 (diff pump 5),MKS422,AT1K0_GAS_GPI_110,,,,GATT,,
87,FEE(GATT) diff,,AT1K0_GAS_GPI_121,GPI-120 (roughing pump port?),MKS275,,,,,GATT,,
88,FEE(GATT) diff,,AT1K0_GAS_PTM_120,PTM-120 (diff pump 6),PTM_Ebara_010M,AT1K0_GAS_GCC_120,,,,GATT,,
89,FEE(GATT) diff,,AT1K0_GAS_VRC_120,VGC-120 (diff pump 6),VRC,AT1K0_GAS_GCC_120,,,,GATT,,
90,FEE(GATT) diff,,AT1K0_GAS_GPI_120,GPI-120 (diff pump 6),MKS317,,,,,GATT,,
91,FEE(GATT) diff,,AT1K0_GAS_GCC_120,GCC-120 (diff pump 6),MKS422,AT1K0_GAS_GPI_120,,,,GATT,,
92,FEE(GATT) diff,,AT1K0_GAS_PTM_130,PTM-130 (diff pump 7),PTM_Ebara_010M,AT1K0_GAS_GCC_130,,,,GATT,,
93,FEE(GATT) diff,,AT1K0_GAS_VRC_130,VGC-130 (diff pump 7),VRC,AT1K0_GAS_GCC_130,,,,GATT,,
94,FEE(GATT) diff,,AT1K0_GAS_GPI_130,GPI-130 (diff pump 7),MKS317,,,,,GATT,,
95,FEE(GATT) diff,,AT1K0_GAS_GCC_130,GCC-130 (diff pump 7),MKS422,AT1K0_GAS_GPI_130,,,,GATT,,
96,FEE(GATT) diff,,AT1K0_GAS_GPI_121,GPI-130 (roughing pump port?),MKS275,,,,,GATT,,
97,FEE(GATT) diff,,AT1K0_GAS_PTM_140,PTM-140,PTM_Ebara_010M,AT1K0_GAS_GCC_140,,,,GATT,,
98,FEE(GATT) diff,,AT1K0_GAS_VRC_140,VGC-140,VRC,AT1K0_GAS_GCC_140,,,,GATT,,
99,FEE(GATT) diff,,AT1K0_GAS_GPI_140,GPI-140,MKS317,,,,,GATT,,
